bat	flyst.	alt	vx	vy	vz	theta	phi	psi	px	py
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
33	0	0	0	0	0	0	0	-125	0	0
