bat	flyst.	alt	vx	vy	vz	theta	phi	psi	px	py
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
81	0	0	0	0	0	-1	-2	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0
87	0	0	0	0	0	0	0	0	0	0
87	0	0	0	0	0	0	0	0	0	0
87	0	0	0	0	0	0	0	0	0	0
87	0	0	1	0	0	0	0	0	0	0
87	0	0	1	0	0	0	0	0	0	0
87	0	0	1	0	0	0	0	0	0	0
87	0	0	1	0	0	0	0	0	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	1	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	1	0	0	0	1	0	0
87	0	0	0	1	0	0	0	1	0	0
87	0	0	0	1	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	1	0	0
95	0	0	0	1	0	0	0
