bat	flyst.	alt	vx	vy	vz	theta	phi	psi	px	py
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
18	0	0	0	0	0	-4	1	-55	0	0
