bat	flyst.	alt	vx	vy	vz	theta	phi	psi	px	py
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
96	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
95	0	0	0	0	0	0	-1	-1	0	0
0	0	0	0	0	0	0	0	0	0	0
