bat	flyst.	alt	vx	vy	vz	theta	phi	psi	px	py
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	-2	21
56	0	0	4	2	0	0	0	0	-4	43
56	0	0	4	2	0	0	0	0	161	138
56	0	0	4	2	0	0	0	0	400	274
56	0	0	4	2	0	0	0	0	631	407
56	0	0	10	4	0	0	0	0	864	540
56	0	0	10	4	0	0	0	0	1354	746
56	0	0	9	4	0	0	0	0	1844	953
56	0	0	9	4	0	0	0	0	2306	1185
56	0	0	9	4	0	0	0	0	2643	1355
56	0	0	12	7	0	0	0	0	3108	1589
56	0	0	12	7	0	0	0	0	3702	1952
56	0	0	12	7	0	0	0	0	4280	2306
56	0	0	16	8	0	0	0	0	4861	2662
56	0	0	16	8	0	0	0	0	5653	3059
56	0	0	16	8	0	0	0	0	6276	3372
59	0	0	15	9	0	0	0	0	7095	3783
59	0	0	15	9	0	0	0	0	7854	4241
59	0	0	15	9	0	0	0	0	8615	4700
59	0	0	16	12	0	0	0	0	9379	5161
59	0	0	16	12	0	0	0	0	10163	5735
59	0	0	16	12	0	0	0	0	10931	6297
59	0	0	20	12	0	0	0	0	11732	6883
59	0	0	20	12	0	0	0	0	12537	7359
59	0	0	20	12	0	0	0	0	13568	7967
59	0	0	24	13	0	0	0	0	14556	8550
59	0	0	24	13	0	0	0	0	15739	9175
59	0	0	24	13	0	0	0	0	16907	9792
59	0	0	27	13	0	0	0	0	18120	10433
59	0	0	27	13	0	0	0	0	19195	10935
59	0	0	27	13	0	0	0	0	20524	11556
59	0	0	34	14	0	0	0	0	21855	12178
59	0	0	34	14	0	0	0	0	23448	12843
59	0	0	34	14	0	0	0	0	25076	13523
59	0	0	34	14	0	0	0	0	26741	14218
59	0	0	35	16	0	0	0	0	28352	14891
59	0	0	35	16	0	0	0	0	30049	15656
59	0	0	36	16	0	0	0	0	31067	16115
59	0	0	36	16	0	0	0	0	32843	16902
59	0	0	36	16	0	0	0	0	34585	17673
59	0	0	39	16	0	0	0	0	36329	18445
59	0	0	39	16	0	0	0	0	38213	19226
59	0	0	39	17	0	0	0	0	40104	20009
59	0	0	39	17	0	0	0	0	41646	20690
59	0	0	39	17	0	0	0	0	43618	21560
59	0	0	39	17	0	0	0	0	45496	22389
59	0	0	38	18	0	0	0	0	47383	23222
59	0	0	38	18	0	0	0	0	49231	24102
59	0	0	38	18	0	0	0	0	51054	24970
59	0	0	38	19	0	0	0	0	52910	25853
59	0	0	38	19	0	0	0	0	54718	26780
59	0	0	38	19	0	0	0	0	56213	27546
59	0	0	37	20	0	0	0	0	58105	28515
59	0	0	37	20	0	0	0	0	59895	29502
59	0	0	37	20	0	0	0	0	61682	30488
59	0	0	34	20	0	0	0	0	63459	31468
59	0	0	34	20	0	0	0	0	65091	32436
59	0	0	34	20	0	0	0	0	66710	33396
59	0	0	35	19	0	0	0	0	67958	34136
59	0	0	35	19	0	0	0	0	69677	35106
59	0	0	35	19	0	0	0	0	71364	36059
59	0	0	33	20	0	0	0	0	73030	37000
59	0	0	33	20	0	0	0	0	74627	37963
59	0	0	33	20	0	0	0	0	76226	38928
62	0	0	29	18	0	0	0	0	77808	39882
62	0	0	29	18	0	0	0	0	78897	40587
62	0	0	29	18	0	0	0	0	80322	41509
62	0	0	28	19	0	0	0	0	81696	42398
62	0	0	28	19	0	0	0	0	83067	43322
62	0	0	28	19	0	0	0	0	84429	44240
62	0	0	24	17	0	0	0	0	85797	45162
62	0	0	24	17	0	0	0	0	86844	45929
62	0	0	24	17	0	0	0	0	88015	46787
62	0	0	22	17	0	0	0	0	89178	47640
62	0	0	22	17	0	0	0	0	90259	48502
62	0	0	22	17	0	0	0	0	91340	49365
62	0	0	20	18	0	0	0	0	92411	50220
62	0	0	20	18	0	0	0	0	93188	50932
62	0	0	20	18	0	0	0	0	94178	51838
62	0	0	18	19	0	0	0	0	95148	52727
62	0	0	18	19	0	0	0	0	96044	53654
62	0	0	18	19	0	0	0	0	96941	54583
62	0	0	14	19	0	0	0	0	97826	55498
62	0	0	14	19	0	0	0	0	98373	56247
62	0	0	14	19	0	0	0	0	99076	57211
62	0	0	10	19	0	0	0	0	99770	58161
62	0	0	10	19	0	0	0	0	100282	59083
62	0	0	10	19	0	0	0	0	100806	60024
62	0	0	6	18	0	0	0	0	101212	60754
62	0	0	6	18	0	0	0	0	101540	61729
62	0	0	6	18	0	0	0	0	101833	62600
62	0	0	2	19	0	0	0	0	102140	63509
62	0	0	2	19	0	0	0	0	102274	64384
62	0	0	2	19	0	0	0	0	102422	65343
62	0	0	0	18	0	1	0	0	102560	66247
62	0	0	0	18	0	1	0	0	102529	66886
62	0	0	0	18	0	1	0	0	102485	67805
62	0	0	-3	19	0	1	0	0	102442	68682
62	0	0	-3	19	0	1	0	0	102296	69591
62	0	0	-3	19	0	1	0	0	102149	70500
62	0	0	-7	17	0	1	0	0	102004	71402
62	0	0	-7	17	0	1	0	0	101661	72236
62	0	0	-7	17	0	1	0	0	101348	72998
62	0	0	-9	18	0	1	0	0	101005	73833
62	0	0	-9	18	0	1	0	0	100545	74700
62	0	0	-9	18	0	1	0	0	100090	75559
62	0	0	-10	18	0	1	0	0	99631	76426
62	0	0	-10	18	0	1	0	0	99143	77301
62	0	0	-10	18	0	1	0	0	98656	78173
61	0	0	-12	17	0	1	0	0	98251	78900
61	0	0	-12	17	0	1	0	0	97680	79734
61	0	0	-12	17	0	1	0	0	97083	80605
61	0	0	-19	13	0	1	0	0	96505	81449
61	0	0	-19	13	0	1	0	0	95610	82065
61	0	0	-19	13	0	1	0	0	94665	82714
61	0	0	-23	12	0	1	0	1	93748	83345
61	0	0	-23	12	0	1	0	1	92939	83782
61	0	0	-23	12	0	1	0	1	91813	84392
61	0	0	-32	12	0	1	0	1	90669	85010
61	0	0	-32	12	0	1	0	1	89674	85383
61	0	0	-32	12	0	1	0	1	88046	85993
61	0	0	-33	11	0	1	0	1	86479	86580
61	0	0	-33	11	0	1	0	1	84883	87101
61	0	0	-33	11	0	1	0	1	83249	87633
61	0	0	-38	5	0	1	0	1	81643	88157
61	0	0	-38	5	0	1	0	1	79841	88432
61	0	0	-41	7	0	1	0	1	78079	88701
61	0	0	-41	7	0	1	0	1	76625	88954
61	0	0	-41	7	0	1	0	1	74620	89302
61	0	0	-41	7	0	1	0	1	72564	89659
61	0	0	-45	0	0	1	0	2	70570	90006
61	0	0	-45	0	0	1	0	2	68420	89964
61	0	0	-45	-8	0	0	0	2	66726	89931
61	0	0	-50	-8	0	0	0	2	64580	89515
61	0	0	-50	-8	0	0	0	2	62195	89097
61	0	0	-50	-8	0	0	0	2	59724	88664
61	0	0	-48	-15	0	0	-1	2	57185	88219
61	0	0	-48	-15	0	0	-1	2	55403	87654
61	0	0	-48	-15	0	0	-1	2	53130	86933
61	0	0	-39	-33	0	0	-1	2	50802	86195
61	0	0	-39	-33	0	0	-1	2	48949	84602
61	0	0	-39	-33	0	0	-1	2	47081	82996
61	0	0	-22	-66	0	-1	-2	2	45216	81393
61	0	0	-22	-66	0	-1	-2	2	44192	78334
61	0	0	3	-94	0	-2	-2	2	43437	76078
61	0	0	3	-94	0	-2	-2	2	43624	71394
61	0	0	3	-94	0	-2	-2	2	43808	66752
61	0	0	3	-94	0	-2	-2	2	43986	62283
61	0	0	47	-117	0	-3	-2	2	44165	57792
61	0	0	47	-117	0	-3	-2	2	46415	52186
61	0	0	98	-132	0	-4	-1	2	47982	48282
61	0	0	98	-132	0	-4	-1	2	52310	42473
61	0	0	98	-132	0	-4	-1	2	57015	36157
61	0	0	151	-129	0	-3	0	2	61691	29881
61	0	0	151	-129	0	-3	0	2	66845	25452
58	0	0	193	-125	0	-3	0	2	74504	18871
58	0	0	193	-125	0	-3	0	2	81711	14196
58	0	0	193	-125	0	-3	0	2	91381	7921
58	0	0	193	-125	0	-3	0	2	100587	1949
58	0	0	229	-120	0	-2	0	2	109865	-4070
58	0	0	229	-120	0	-2	0	2	120612	-9731
58	0	0	250	-102	0	-1	1	2	131684	-15563
58	0	0	250	-102	0	-1	1	2	141009	-19389
58	0	0	250	-102	0	-1	1	2	152778	-24218
58	0	0	250	-102	0	-1	1	2	165234	-29329
58	0	0	261	-66	0	-1	2	2	177184	-34233
58	0	0	261	-66	0	-1	2	2	185896	-36465
58	0	0	261	-66	0	-1	2	2	198609	-39723
58	0	0	273	-40	0	-1	1	1	211288	-42972
58	0	0	273	-40	0	-1	1	1	224459	-44936
58	0	0	292	-27	0	-2	0	1	233766	-46324
58	0	0	292	-27	0	-2	0	1	247308	-47573
58	0	0	292	-27	0	-2	0	1	262001	-48929
58	0	0	322	-25	0	-3	0	1	275535	-50177
58	0	0	322	-25	0	-3	0	1	285411	-50955
58	0	0	322	-25	0	-3	0	1	300889	-52173
58	0	0	358	0	0	-3	2	0	316136	-53374
58	0	0	358	0	0	-3	2	0	331169	-53376
58	0	0	358	0	0	-3	2	0	348184	-53379
58	0	0	233	40	0	-3	5	0	365384	-53382
58	0	0	233	40	0	-3	5	0	373653	-51946
58	0	0	233	40	0	-3	5	0	384828	-50006
58	0	245	368	-29	0	-2	3	85	396097	-48050
58	0	245	368	-29	0	-2	3	85	413461	-49434
58	0	256	430	-30	0	0	2	84	431031	-50834
58	0	256	430	-30	0	0	2	84	443966	-51752
58	0	256	430	-30	0	0	2	84	464767	-53229
58	0	256	430	-30	0	0	2	84	485345	-54690
58	0	271	388	-17	0	1	1	84	505205	-56100
58	0	271	388	-17	0	1	1	84	523931	-56951
58	0	307	313	34	0	3	3	84	542765	-57807
58	0	307	313	34	0	3	3	84	552270	-56762
58	0	307	313	34	0	3	3	84	567501	-55088
58	0	365	230	134	0	3	5	84	582867	-53398
